model,split,anomali_turu,gercek_anomali,yakalanan_anomali,recall
Local Outlier Factor,dogrulama+test,genel_toplam,156,156,1.0
Autoencoder,dogrulama+test,genel_toplam,156,156,1.0
Kesin Kural Katmani,dogrulama+test,genel_toplam,156,156,1.0
Isolation Forest,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,157,1.0
Robust Covariance,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,130,0.828
One-Class SVM,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,157,1.0
Local Outlier Factor,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,90,0.5732
Autoencoder,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,146,0.9299
Kesin Kural Katmani,dogrulama+test,is_kolu_kategori_uyumsuzlugu,157,90,0.5732
Isolation Forest,dogrulama+test,kdv_tutari,156,156,1.0
Robust Covariance,dogrulama+test,kdv_tutari,156,156,1.0
One-Class SVM,dogrulama+test,kdv_tutari,156,156,1.0
Local Outlier Factor,dogrulama+test,kdv_tutari,156,156,1.0
Autoencoder,dogrulama+test,kdv_tutari,156,156,1.0
Kesin Kural Katmani,dogrulama+test,kdv_tutari,156,156,1.0
Isolation Forest,dogrulama+test,limit_asimi,157,109,0.6943
Robust Covariance,dogrulama+test,limit_asimi,157,134,0.8535
One-Class SVM,dogrulama+test,limit_asimi,157,127,0.8089
Local Outlier Factor,dogrulama+test,limit_asimi,157,10,0.0637
Autoencoder,dogrulama+test,limit_asimi,157,88,0.5605
Kesin Kural Katmani,dogrulama+test,limit_asimi,157,10,0.0637
Isolation Forest,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
Robust Covariance,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
One-Class SVM,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
Local Outlier Factor,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
Autoencoder,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
Kesin Kural Katmani,dogrulama+test,mukerrer_fis_yukleme,350,350,1.0
Isolation Forest,dogrulama+test,ondalik_kaymasi,156,99,0.6346
Robust Covariance,dogrulama+test,ondalik_kaymasi,156,127,0.8141
One-Class SVM,dogrulama+test,ondalik_kaymasi,156,105,0.6731
Local Outlier Factor,dogrulama+test,ondalik_kaymasi,156,13,0.0833
Autoencoder,dogrulama+test,ondalik_kaymasi,156,82,0.5256
Kesin Kural Katmani,dogrulama+test,ondalik_kaymasi,156,11,0.0705
Isolation Forest,dogrulama+test,satir_toplami,156,156,1.0
Robust Covariance,dogrulama+test,satir_toplami,156,156,1.0
One-Class SVM,dogrulama+test,satir_toplami,156,156,1.0
Local Outlier Factor,dogrulama+test,satir_toplami,156,156,1.0
Autoencoder,dogrulama+test,satir_toplami,156,156,1.0
Kesin Kural Katmani,dogrulama+test,satir_toplami,156,156,1.0
Isolation Forest,dogrulama+test,yasakli_kategori,157,157,1.0
Robust Covariance,dogrulama+test,yasakli_kategori,157,131,0.8344
One-Class SVM,dogrulama+test,yasakli_kategori,157,157,1.0
Local Outlier Factor,dogrulama+test,yasakli_kategori,157,131,0.8344
Autoencoder,dogrulama+test,yasakli_kategori,157,149,0.949
Kesin Kural Katmani,dogrulama+test,yasakli_kategori,157,130,0.828
